post_id,posttypeid,post_creationdate,post_score,post_viewcount,post_body,post_title,post_tags,post_body_accepted,post_score_accepted
548,1,2016-02-10T14:52:38.880,9,578.0,"<p>Fair warning: I am a complete novice in 3-D printing. This will, hopefully, be the first thing I've ever printed. </p>

<p>I want to make a Constant Velocity Joint for a camera stabilizer I'm making. I've been looking at different options, and it seems that a double cardan joint would be easiest to design/make/print. However, the intended use involves force being applied along the shaft, into the joint, which I think in a double cardan will cause ""buckling"" (forcing the joint into a 90° zig-zag). </p>

<p>Also, perhaps I'm wrong, but I don't see it rotating very smoothly (pretty essential for camera stabilization.) </p>

<p>So my next idea is a Tracta type, with bearings. The question is: </p>

<p>Can you print bearings inside their housing? or do movable parts have to be printed separately? </p>
",Printing a CV joint,<3d-design>,,
1053,1,2016-04-27T13:12:32.580,1,455.0,"<p>In Google Sketchup, I have text on a surface that I'd like to push / pull so that the text is etched into, rather than placed upon the surface.  I can't seem to figure this out, the text disappears when I try to push it into the surface and I'm not quite sure what else to try.  Any advice?</p>
",Pushing Text into surface - Google Sketchup,<3d-design>,"<p>Definitely you have to perform substract operation.
Take a look <a href=""https://www.youtube.com/watch?v=inwYs-Fs-mM"" rel=""nofollow"">here</a></p>

<p>Extrude text and then substract it from the object to etch in.</p>
",1.0
1264,1,2016-06-05T20:46:02.477,4,288.0,"<p>What type of printer would one recommend to print and cast car body parts fast on a large scale? Also if I were to print parts for restoration would I need licences from the manufactures?</p>
",Car Body shop Printers,<3d-design>,,
1383,1,2016-06-18T09:54:45.630,9,2149.0,"<p>Is there any simple way of creating tappered thread in OpenSCAD? I need something like 10 mm in diameter at the end, 9 at the top and the height of 10 mm.</p>
",How to create tappered thread in OpenSCAD?,<3d-design>,"<p>I have contacted Dan Kirshner (the author of openscad threads library) and he has updated the library. Now it supports tapered threads. Thanks, Dan!</p>

<p><a href=""http://dkprojects.net/openscad-threads/"" rel=""nofollow"">Thread-drawing modules for OpenSCAD</a></p>
",4.0
2697,1,2016-08-28T00:32:36.523,-2,1752.0,"<p>I am an absolute beginner when it comes to 3d printing. I want to get into the hobby by designing aero automotive parts such as fender flares, custom gauge and switch pods, lips etc. I've never taken a CAD course but I would say I'm proficient enough with computers as I work as a developer. My uncle is an architect and it seems like autocad might be something good to go with. What are some other good alternatives that allow accurate modeling down to millimeters and possibly breaking larger objects into smaller 3d printable pieces to mash together? </p>
",What is a good software for designing car parts,<3d-design>,"<p>You've avoided a number of attributes of a poor question by specifying your objective in detail, while also providing some indication of your experience. AutoCAD is not well known as being 3d printer friendly, although a skilled AutoCAD design user may be able to create acceptable models.</p>

<p>One could consider more organic modeling software such as Blender, although it works in reverse of my comment above. It's great for free-form model building but not so much for engineering type construction. Again, a competent Blender user can avail himself of the parametric aspects of the software, but it's more work than one would necessarily desire to engage.</p>

<p>SolidWorks has a number of followers in the 3d modeling community. My experience with the software has shown me that it can be learned fairly quickly and is powerful enough to allow one to explode creatively over time.</p>

<p>The structure of Solidworks workflow fits in directly with your description, both to the reference to accurate modeling as well as the break-apart aspect. The construction of a model in SW is done via sketches and various actions performed on resultant objects created from those sketches. It's not free software, rather pricey, but it may also save you so much work as to pay for itself over time.</p>

<p>There are other options, of course, some of which are free to students and hobbyists. I did a quick Google search for ""free parametric 3d modeling software"" which resulted in this link:</p>

<p><a href=""https://www.matterhackers.com/articles/finding-the-right-3d-modeling-software-for-you"" rel=""nofollow"">https://www.matterhackers.com/articles/finding-the-right-3d-modeling-software-for-you</a></p>

<p>You will find many suitable programs in the list generated from that link, as well as many that are unsuitable for the reasons mentioned previously.</p>

<p>Consider also to view YouTube videos of your candidate selections. Most of the programs referenced will have tutorial videos which can give you a clearer idea of how well it fits your needs and perhaps how easily it can be understood.</p>
",2.0
3222,1,2016-12-18T15:40:13.923,5,654.0,"<p>New to 3D printing so sorry if this is a simple/basic question.  I've done a ton of Googling but can't seem to find the answer...</p>

<p>When I download a .STL file and open it in Print Studio, it opens as a HUGE object - much larger than you would ever want it.  How to I get the file to open at scale to how the designer wanted it.  For instance the following file from Thingaverse has specific size but I'm unsure of how to print it at that exact size.  I'm assuming that the info is able to be stored somewhere in the .STL file.</p>

<p><a href=""http://www.thingiverse.com/make:181631"" rel=""nofollow noreferrer"">http://www.thingiverse.com/make:181631</a></p>
",Opening .STL to scale in Print Studio (Dremel),<3d-design>,,
3557,1,2017-02-10T04:02:14.437,4,1625.0,"<p>We have a toy with some broken parts, an Executivity Gear Master. I don't think it's made anymore. Some tiny parts were easy to break and we'd like to 3d print some replacement parts. We don't have CAD or any other 3D drawings file, just a few of the unbroken parts. What's the best way to get some of these printed? Do I have to turn this into a 3D file first? (Is there a quick way to do that from the part itself?) Or is there a way to do it where I just need the part, rather like getting a spare key cut from a pre-existing key being used as the template?</p>

<p>Here's a photo of the part I need to print. Placed next to a quarter for size comparison:</p>

<p><a href=""https://i.stack.imgur.com/xZ6VN.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/xZ6VN.jpg"" alt=""enter image description here""></a> </p>
",How do you 3d print from an existing part when you have no CAD drawings?,<3d-design>,"<p>You can't print without a 3D model first. There are various ways you can go about this (or pay someone to do the same for you, ignoring any IP issues).</p>

<p>It is possible to generate a 3D model from a sequence of 2D photographs (there is even <a href=""http://www.123dapp.com/catch"" rel=""nofollow noreferrer"">software which will allow you to do this freehand on a phone</a>). Equipment exists which is specifically designed for this process, and you have likely heard of the services which allow you to get a 3D print of your own body.</p>

<p>You can take a 2D photo and import this into a 3D drawing package. Copy the features into a mesh, and extrude it. This might be a good approach for a complex shape, particularly if appearance is more important than precision.</p>

<p>For the shape you show here, the simplest approach for anyone with modeling experience is maybe to just draw it from scratch (with a few key dimensions). Your shape is only made up of a handful of primitive shapes.</p>

<p>Experiment in <a href=""https://www.tinkercad.com/"" rel=""nofollow noreferrer"">TinkerCad</a> which is an online 3D editor to see if you can handle this yourself. It's not clear if you have your own printer, but this sort of part should cost less than $1 to print.</p>

<p>Strength might be a problem if they are already breaking...</p>
",6.0
3613,1,2017-02-16T13:15:45.913,9,625.0,"<p>I have <a href=""https://ultimaker.com/en/products/ultimaker-2-plus"" rel=""noreferrer"" title=""Ultimaker 2+"">Ultimaker 2+ 3D Printer</a> and I need to print a piece that doesn't fit within the build volume of the printer. Even though it would fit I'd still need to print it in two parts because I'll need to fit some equipment inside. I could use glue to put it together, but I'll need to remove the equipment later.</p>

<p>So I'm trying to find some feasible solutions how to attach/snap it together. The wall thickness is currently 3mm.</p>

<p><a href=""https://i.stack.imgur.com/FFckZ.png"" rel=""noreferrer"" title=""Cut Plane""><img src=""https://i.stack.imgur.com/FFckZ.png"" alt=""Cut Plane"" title=""Cut Plane""></a></p>

<p>Plane for cutting the part.</p>

<p><a href=""https://i.stack.imgur.com/L2hhV.png"" rel=""noreferrer"" title=""Cut Cross Section""><img src=""https://i.stack.imgur.com/L2hhV.png"" alt=""Cross Section where I split the part"" title=""Cut Cross Section""></a></p>

<p>Cut cross section.</p>
",Feasible 3D Printed Snap Connectors,<3d-design>,,
4340,1,2017-07-04T20:17:13.317,2,1057.0,"<p>This is a line drawing and I would like to print it a couple of mm high. I cannot figure out how to get this line drawing filled. I converted to SVG with Inkscape, used GIMP, took it online to TinkerCad and tried it with Onshape but all I ever get is just the line and this does not work well on my printer. What is a smart way to get this filled in and ready to go?</p>

<p>I use TinkerCad to convert to STL and that works fine. So I could also try to edit the STL in stead of the SVG file.</p>

<p>Maybe I should print the original scanned image (TIFF) and then fill it by hand with black ink and then scan it and convert it to SVG but that sounds really dumb.</p>

<p><a href=""https://i.stack.imgur.com/qzDoY.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/qzDoY.png"" alt=""should be SVG""></a></p>

<p><strong>UPDATE</strong><br>
I went back to the original drawing and using the bucket tool. The result is a rather noisy image and I need it to be sharp and tight to be able to convert it to a good SVG later on.
Looks like it is more of a graphics design question now..<br>
<a href=""https://graphicdesign.stackexchange.com/questions/94773/from-drawing-to-3d-print"">https://graphicdesign.stackexchange.com/questions/94773/from-drawing-to-3d-print</a></p>

<p><a href=""https://i.stack.imgur.com/jakBT.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/jakBT.png"" alt=""enter image description here""></a></p>
",fill in svg or stl design,<3d-design>,,
4397,1,2017-07-18T13:27:42.120,4,5896.0,"<p>I am designing a door to put on a small enclosure that will open and close upon pressing a button. The idea is something similar to what you would find on an external DVD reader. My problem is with the actual button I understand I will need to use springs for this but I can not figure out the mechanics of the button.</p>

<p>Are there 3D-printable, mechanical designs that could fit for this purpose?</p>
",Mechanics for modelling a push button latch spring,<3d-design>,,
